Item #,Download date,Download cancelled,Media type,Downloaded by,Subscription,Account overage,Title,Caption,Contributor,Source,File size,Project code,Download notes,Duplicate downloads
1150460192,2020-04-14T03:16:48.5698374,,Photos,Camilla Engevik,KlippekortiStock,,Ugly one ripe organic strawberry isolated on white background.,Ugly one ripe organic strawberry isolated on white background. View from above.,iStock,iStockphoto,4000 x 4000 px (33.87 x 33.87 cm) - 300 dpi - RGB,,Explore 5 My Book (C.E),
1014422502,2020-04-14T03:16:48.567315,,Photos,Camilla Engevik,KlippekortiStock,,Little boy practicing cello at home,"Little boy aged 7 practicing cello at home.
Nikon D800",E+,E Plus,7360 x 4912 px (62.31 x 41.59 cm) - 300 dpi - RGB,,Explore 5 My Book (C.E),
155138546,2020-04-14T03:16:48.5648659,,Photos,Camilla Engevik,KlippekortiStock,,young boy looking at the camera,"",E+,E Plus,4256 x 2832 px (36.03 x 23.98 cm) - 300 dpi - RGB,,Explore 5 My Book (C.E),
887357500,2020-04-14T03:16:48.5624081,,Photos,Camilla Engevik,KlippekortiStock,,I feel at home down at the stables,Shot of a teenage girl bonding with her horse,E+,E Plus,4912 x 7360 px (41.59 x 62.31 cm) - 300 dpi - RGB,,Explore 5 My Book (C.E),
453787765,2020-04-14T03:16:48.5596092,,Photos,Camilla Engevik,KlippekortiStock,,hip-hop style dancer performing against a white background,hip-hop style dancer performing against a white background,iStock,iStockphoto,3685 x 2446 px (31.20 x 20.71 cm) - 300 dpi - RGB,,Explore 5 My Book (C.E),
453787175,2020-04-14T03:16:48.5564239,,Photos,Camilla Engevik,KlippekortiStock,,handsome teenager looking at the camera. isolated on white,handsome teenager looking at the camera. isolated on white,iStock,iStockphoto,2761 x 4159 px (23.38 x 35.21 cm) - 300 dpi - RGB,,Explore 5 My Book (C.E),
468852138,2020-04-14T03:16:48.5540821,,Photos,Camilla Engevik,KlippekortiStock,,Soccer Team Victory,"A group of children on a soccer team wearing red jerseys, celebrating their victory together.",E+,E Plus,7360 x 4912 px (62.31 x 41.59 cm) - 300 dpi - RGB,,Explore 5 My Book (C.E),
1035418374,2020-04-14T03:16:48.5516195,,Photos,Camilla Engevik,KlippekortiStock,,Studying for a bright future - Stock image,"Children Only, Elementary Age",iStock,iStockphoto,5760 x 3840 px (48.77 x 32.51 cm) - 300 dpi - RGB,,Explore 5 My Book (C.E),
1128816250,2020-04-14T03:16:48.5490492,,Photos,Camilla Engevik,KlippekortiStock,,Group of diverse kids supporting a movement,Group of diverse kids supporting a movement,iStock,iStockphoto,4676 x 4492 px (39.59 x 38.03 cm) - 300 dpi - RGB,,Explore 5 My Book (C.E),
459953399,2020-04-14T03:16:48.5464701,,Photos,Camilla Engevik,KlippekortiStock,,playful  sister using digital tabletin the living room,playful  sister using digital tabletin the living room,iStock,iStockphoto,5000 x 3333 px (42.33 x 28.22 cm) - 300 dpi - RGB,,Explore 5 My Book (C.E),
1092181248,2020-04-14T03:16:48.5440315,,Photos,Camilla Engevik,KlippekortiStock,,Brother and Sister listening to music,Brother and sister having fun,iStock,iStockphoto,6011 x 4012 px (50.89 x 33.97 cm) - 300 dpi - RGB,,Explore 5 My Book (C.E),
637330440,2020-04-14T03:16:48.5415858,,Photos,Camilla Engevik,KlippekortiStock,,Dirt bike and rider isolated on white,Dirt bike and rider isolated on white background,iStock,iStockphoto,8500 x 5667 px (182.97 x 121.98 cm) - 118 dpi - RGB,,Explore 5 My Book (C.E),
682357140,2020-04-14T03:16:48.5392026,,Photos,Camilla Engevik,KlippekortiStock,,Portrait of purebred Bloodhound dog,Portrait of purebred Bloodhound dog with scattering ears on a white background,iStock,iStockphoto,4429 x 2953 px (37.50 x 25.00 cm) - 300 dpi - RGB,,Explore 5 My Book (C.E),
140398886,2020-04-14T03:16:48.5364813,,Photos,Camilla Engevik,KlippekortiStock,,Acapulco Cliff Diver,Cliff Diver jumps in Acapulco,iStock,iStockphoto,1999 x 3339 px (16.92 x 28.27 cm) - 300 dpi - RGB,,Explore 5 My Book (C.E),
489604476,2020-04-14T03:16:48.5323742,,Photos,Camilla Engevik,KlippekortiStock,,Two girls roll inside giant plastic balls,"Two girls roll around inside giant plastic balls floating in water on a summer evening at the county fair, Rochester, MN, USA",iStock,iStockphoto,6000 x 4000 px (50.80 x 33.87 cm) - 300 dpi - RGB,,Explore 5 My Book (C.E),
